start_s,end_s,displacement_mm,duration_s,sample,cycle,phase,alignment_offset_s,R_median_ohm,R_MAD_ohm,plateau_observations,dR_R0_pct,robust_noise_pct_R
346.987,356.926,0.5,9.938999999999965,1,3,Loading,17.7,3760.344828,14.755225999999993,60,3.388120483922334,0.5817577660619796
358.057,367.999,1.0,9.942000000000007,1,3,Loading,17.7,4088.463641,22.205963999999767,60,12.409523818767132,0.8052551060071823
369.13,379.067,1.5,9.937000000000012,1,3,Loading,17.7,4052.285092,15.965873999999985,60,11.414819249363354,0.584139670704096
380.198,390.136,2.0,9.938000000000045,1,3,Loading,17.7,3957.518797,23.31108800000038,60,8.809284498316073,0.8733001873547529
391.266,401.234,2.5,9.967999999999961,1,3,Loading,17.7,3911.045891,23.013976000000184,60,7.531543593016842,0.8724142280231881
402.365,412.308,3.0,9.942999999999984,1,3,Loading,17.7,3861.36725,22.84327600000006,60,6.165663186799594,0.877084172648952
413.437,423.382,2.5,9.944999999999993,1,3,Unloading,17.7,3853.785071,26.509890499999983,60,5.957196338188905,1.0198691139021223
424.513,434.446,2.0,9.93300000000005,1,3,Unloading,17.7,3734.617387,10.968737999999576,60,2.680762012421272,0.4354462391624744
435.576,445.518,1.5,9.94199999999995,1,3,Unloading,17.7,3782.54717,18.608899000000292,60,3.998558758792495,0.729390868571784
446.648,456.584,1.0,9.935999999999979,1,3,Unloading,17.7,3823.616236,11.283447000000251,60,5.127724762972089,0.43751353403868043
457.716,467.654,0.5,9.937999999999988,1,3,Unloading,17.7,3857.574153,15.196547999999893,61,6.0613745676487385,0.5840562273385763
468.586,508.536,0.1,39.94999999999999,1,3,Unloading,17.7,3689.1393345,12.674137499999688,60,1.4303739266709325,0.5093512213478456
509.466,519.41,0.5,9.94399999999996,1,4,Loading,17.7,3642.4612850000003,8.905615000000125,60,0.14699274052922595,0.3624874436791765
520.541,530.481,1.0,9.93999999999994,1,4,Loading,17.7,3918.75,19.332484999999906,60,7.743362823950748,0.731415432497604
531.612,541.545,1.5,9.932999999999993,1,4,Loading,17.7,3804.88959,16.800935499999923,60,4.612848382888225,0.6546593897958517
542.676,552.622,2.0,9.945999999999913,1,4,Loading,17.7,3788.1200785,20.506959499999994,60,4.151782083194462,0.8026043928031725
553.752,563.687,2.5,9.93500000000006,1,4,Loading,17.7,3872.770701,20.92868550000003,60,6.479193307000719,0.8012059457661147
564.818,574.761,3.0,9.942999999999984,1,4,Loading,17.7,3729.129214,21.92626999999993,60,2.5298684328921923,0.8717286539698835
575.89,585.828,2.5,9.937999999999988,1,4,Unloading,17.7,3786.261143,20.42702200000008,60,4.10067191744191,0.7998683047309321
586.959,596.904,2.0,9.94500000000005,1,4,Unloading,17.7,3712.714063,18.14884600000005,61,2.078545033848376,0.7247387927810931
598.034,607.967,1.5,9.932999999999993,1,4,Unloading,17.7,3741.948932,18.395895999999993,60,2.8823378498681933,0.7288649819981026
609.097,619.037,1.0,9.940000000000055,1,4,Unloading,17.7,3756.657963,18.37671300000011,60,3.2867526412740684,0.725254067901421
620.169,630.11,0.5,9.941000000000031,1,4,Unloading,17.7,3789.979014,18.550443000000087,60,4.202892248947014,0.7256738543988183
631.042,670.982,0.1,39.93999999999994,1,4,Unloading,17.7,3680.113636,10.833078999999998,60,1.1822184923551182,0.43643008107915926
671.912,681.84,0.5,9.927999999999997,1,5,Loading,17.7,3624.6737825,15.967817500000137,60,-0.3420625285207169,0.6531314994413625
682.971,692.911,1.0,9.93999999999994,1,5,Loading,17.7,3808.627038,33.496148000000176,60,4.715606970677605,1.3039184075865464
694.042,703.983,1.5,9.940999999999917,1,5,Loading,17.7,3846.218932,15.148317999999563,60,5.74917049845598,0.5839214216316314
705.114,715.051,2.0,9.937000000000012,1,5,Loading,17.7,3778.837087,22.179123999999774,60,3.8965525530442426,0.8701822408677885
716.181,726.123,2.5,9.942000000000007,1,5,Loading,17.7,3795.563629,14.934100499999886,60,4.356437435595078,0.5833467586244443
727.254,737.189,3.0,9.934999999999945,1,5,Loading,17.7,3780.6921285,24.197461500000372,60,3.947555655918369,0.9489044651232714
